date,open,high,low,close,volume
2024-01-02,46.424,46.464,46.335,46.462,2007293.0
2024-01-03,45.956,45.971,45.862,45.893,5774183.0
2024-01-04,45.434,45.536,45.358,45.409,4366612.0
2024-01-05,44.419,44.631,44.305,44.434,9411855.0
2024-01-08,45.228,45.389,45.192,45.203,6267180.0
2024-01-09,43.119,43.246,43.061,43.123,8807313.0
2024-01-10,44.684,44.79,44.571,44.627,3704238.0
2024-01-11,44.024,43.982,43.924,43.948,3630708.0
2024-01-12,44.338,44.348,44.2,44.228,4494679.0
2024-01-15,43.938,44.094,44.0,44.008,6517209.0
2024-01-16,45.222,45.313,45.179,45.295,2767640.0
2024-01-17,43.403,43.489,43.391,43.428,7723771.0
2024-01-18,43.156,43.271,42.958,43.148,2285160.0
2024-01-19,42.861,42.872,42.706,42.817,7080526.0
2024-01-22,43.804,43.867,43.722,43.788,6173036.0
2024-01-23,42.723,42.887,42.662,42.825,2425472.0
2024-01-24,42.662,42.729,42.617,42.677,1048984.0
2024-01-25,41.969,42.042,41.886,41.928,7556168.0
2024-01-26,41.975,42.043,41.882,41.963,2504384.0
2024-01-29,42.49,42.457,42.348,42.452,3230919.0
2024-01-30,41.507,41.536,41.478,41.518,7940119.0
2024-01-31,42.458,42.478,42.386,42.468,2737095.0
2024-02-01,43.243,43.321,43.178,43.234,5780450.0
2024-02-02,43.689,43.744,43.473,43.668,8469344.0
2024-02-05,44.465,44.508,44.322,44.455,3109818.0
2024-02-06,43.853,43.861,43.671,43.847,3231785.0
2024-02-07,43.706,43.747,43.575,43.74,4853339.0
2024-02-08,42.94,42.983,42.832,42.921,1996107.0
2024-02-09,42.697,42.714,42.579,42.691,8130144.0
2024-02-12,43.2,43.212,42.948,43.144,5545583.0
2024-02-13,42.607,42.578,42.514,42.547,4747389.0
2024-02-14,42.219,42.453,42.075,42.209,5142807.0
2024-02-15,41.611,41.733,41.518,41.629,8988004.0
2024-02-16,40.894,41.144,40.867,40.926,7245035.0
2024-02-19,40.397,40.42,40.252,40.376,4602279.0
2024-02-20,40.37,40.376,40.278,40.366,6515989.0
2024-02-21,39.447,39.478,39.402,39.464,3121690.0
2024-02-22,39.651,39.661,39.605,39.649,1491234.0
2024-02-23,40.934,40.967,40.824,40.965,6401218.0
2024-02-26,41.608,41.685,41.56,41.573,7914550.0
2024-02-27,41.391,41.465,41.252,41.414,7167294.0
2024-02-28,40.74,40.778,40.628,40.678,7906726.0
2024-02-29,40.091,40.095,39.915,40.071,6888794.0
2024-03-01,41.457,41.457,41.416,41.427,8558158.0
2024-03-04,41.414,41.518,41.347,41.469,7510425.0
2024-03-05,40.949,40.958,40.696,40.941,9511017.0
2024-03-06,41.134,41.196,41.042,41.097,8887739.0
2024-03-07,42.776,42.845,42.803,42.823,1769598.0
2024-03-08,42.913,43.145,42.856,42.926,6292895.0
2024-03-11,43.458,43.646,43.436,43.456,8971379.0
2024-03-12,43.648,43.782,43.693,43.717,4331068.0
2024-03-13,43.425,43.499,43.389,43.409,4256415.0
2024-03-14,42.459,42.67,42.351,42.417,1874371.0
2024-03-15,42.078,42.146,41.941,42.121,6654237.0
2024-03-18,41.962,41.949,41.933,41.945,1973548.0
2024-03-19,42.371,42.459,42.314,42.437,4344014.0
2024-03-20,43.147,43.282,43.031,43.149,8064746.0
2024-03-21,43.872,43.981,43.886,43.952,7216204.0
2024-03-22,44.26,44.271,44.036,44.203,6193542.0
2024-03-25,45.006,45.018,44.903,44.986,3959034.0
