date,open,high,low,close,volume,symbol
2024-04-01,9.623,9.88,9.508,9.65,3558231.0,sh600000
2024-04-02,9.754,9.733,9.654,9.716,7659908.0,sh600000
2024-04-03,9.875,9.987,9.929,9.94,4080389.0,sh600000
2024-04-04,9.919,9.917,9.795,9.89,2661909.0,sh600000
2024-04-05,10.029,10.116,9.986,10.084,3656138.0,sh600000
2024-04-08,10.222,10.303,10.078,10.188,1110078.0,sh600000
2024-04-09,10.267,10.403,10.209,10.233,2915631.0,sh600000
2024-04-10,9.936,10.086,9.954,10.014,7314127.0,sh600000
2024-04-11,10.021,10.085,9.878,9.976,3008187.0,sh600000
2024-04-12,10.066,10.05,10.018,10.027,2659066.0,sh600000
2024-04-15,9.956,9.936,9.875,9.935,3148815.0,sh600000
2024-04-16,10.027,10.076,9.909,10.021,8355740.0,sh600000
2024-04-17,9.906,9.98,9.812,9.905,5506259.0,sh600000
2024-04-18,10.037,10.227,9.839,10.066,8473915.0,sh600000
2024-04-19,10.142,10.396,10.167,10.202,8658426.0,sh600000
2024-04-22,10.095,10.325,10.164,10.18,7404003.0,sh600000
2024-04-23,10.091,10.085,9.951,10.072,5135314.0,sh600000
2024-04-24,10.374,10.375,10.217,10.28,1910681.0,sh600000
2024-04-25,10.171,10.391,10.162,10.19,2607618.0,sh600000
2024-04-26,10.053,9.97,9.847,9.962,4896830.0,sh600000
2024-04-29,10.284,10.314,10.168,10.284,5336787.0,sh600000
2024-04-30,10.598,10.77,10.531,10.601,3755423.0,sh600000
2024-05-01,10.548,10.57,10.42,10.548,1071295.0,sh600000
2024-05-02,10.361,10.439,10.218,10.37,8613287.0,sh600000
2024-05-03,10.284,10.421,10.391,10.409,4445376.0,sh600000
2024-05-06,10.518,10.803,10.566,10.604,6251035.0,sh600000
2024-05-07,10.702,10.811,10.713,10.759,4612600.0,sh600000
2024-05-08,10.903,11.053,10.906,11.052,1825816.0,sh600000
2024-05-09,10.981,11.021,10.955,10.979,9763313.0,sh600000
2024-05-10,10.979,11.128,10.988,10.992,3026793.0,sh600000
2024-05-13,11.018,11.092,10.957,11.041,1554594.0,sh600000
2024-05-14,10.729,10.744,10.492,10.722,9536326.0,sh600000
2024-05-15,10.561,10.602,10.466,10.56,4504473.0,sh600000
2024-05-16,10.748,10.842,10.721,10.732,8299695.0,sh600000
2024-05-17,10.856,11.017,10.639,10.893,3204664.0,sh600000
2024-05-20,10.729,10.817,10.754,10.794,5341747.0,sh600000
2024-05-21,11.055,11.121,10.862,11.051,1686976.0,sh600000
2024-05-22,10.656,10.736,10.549,10.677,3472189.0,sh600000
2024-05-23,10.328,10.461,10.343,10.387,9506404.0,sh600000
2024-05-24,10.113,10.175,10.004,10.131,2241082.0,sh600000
2024-05-27,9.958,10.199,9.958,10.021,6184502.0,sh600000
2024-05-28,9.966,9.938,9.857,9.887,7561000.0,sh600000
2024-05-29,9.923,10.006,9.848,9.889,7671458.0,sh600000
2024-05-30,9.669,9.975,9.714,9.767,5892306.0,sh600000
2024-05-31,10.015,10.067,9.939,10.021,4674515.0,sh600000
2024-06-03,9.597,9.739,9.671,9.674,2579159.0,sh600000
2024-06-04,9.586,9.501,9.332,9.484,5515488.0,sh600000
2024-06-05,9.482,9.653,9.515,9.551,7041495.0,sh600000
2024-06-06,9.188,9.303,9.195,9.243,9767088.0,sh600000
2024-06-07,9.503,9.673,9.411,9.515,7324167.0,sh600000
2024-06-10,9.218,9.349,9.179,9.289,1791971.0,sh600000
2024-06-11,9.234,9.278,8.974,9.187,1501157.0,sh600000
2024-06-12,9.013,9.073,8.938,9.014,5378727.0,sh600000
2024-06-13,8.91,8.909,8.836,8.865,5124499.0,sh600000
2024-06-14,8.922,8.894,8.836,8.884,6946594.0,sh600000
2024-06-17,8.9,9.105,8.928,8.974,6106799.0,sh600000
2024-06-18,8.76,8.958,8.549,8.82,5327576.0,sh600000
2024-06-19,9.105,9.214,8.838,9.04,5962140.0,sh600000
2024-06-20,9.073,9.055,8.951,9.026,3799487.0,sh600000
2024-06-21,8.804,8.899,8.806,8.865,3904941.0,sh600000
2024-06-24,8.701,8.761,8.627,8.709,8983441.0,sh600000
2024-06-25,8.637,8.749,8.694,8.712,6320385.0,sh600000
2024-06-26,8.759,8.801,8.703,8.753,3100021.0,sh600000
2024-06-27,8.793,8.899,8.729,8.756,7928040.0,sh600000
2024-06-28,8.491,8.51,8.384,8.469,1618467.0,sh600000
2024-07-01,8.222,8.375,8.137,8.293,6333152.0,sh600000
2024-07-02,8.362,8.437,8.285,8.394,8328141.0,sh600000
2024-07-03,8.557,8.534,8.442,8.518,6072148.0,sh600000
2024-07-04,8.671,8.817,8.573,8.693,2707923.0,sh600000
2024-07-05,8.547,8.61,8.426,8.444,6134207.0,sh600000
2024-07-08,8.116,8.199,8.045,8.133,9516999.0,sh600000
2024-07-09,8.162,8.539,8.181,8.192,7730886.0,sh600000
2024-07-10,8.176,8.177,8.042,8.138,6853584.0,sh600000
2024-07-11,8.035,8.059,7.838,8.026,9170528.0,sh600000
2024-07-12,8.335,8.384,8.334,8.352,5301754.0,sh600000
2024-04-01,47.329,47.533,47.329,47.436,3269042.0,sh601318
2024-04-02,48.082,48.184,47.974,48.032,2983509.0,sh601318
2024-04-03,48.964,49.018,48.783,48.904,8740141.0,sh601318
2024-04-04,49.345,49.45,49.277,49.397,1116381.0,sh601318
2024-04-05,50.105,50.08,49.958,50.04,2521701.0,sh601318
2024-04-08,49.647,49.784,49.618,49.721,7105525.0,sh601318
2024-04-09,48.853,49.017,48.725,48.877,4438618.0,sh601318
2024-04-10,49.462,49.492,49.384,49.47,8913697.0,sh601318
2024-04-11,47.497,47.478,47.313,47.473,3457184.0,sh601318
2024-04-12,48.195,48.177,48.157,48.176,5103022.0,sh601318
2024-04-15,48.696,48.695,48.586,48.685,2418175.0,sh601318
2024-04-16,48.069,48.236,48.099,48.112,4806688.0,sh601318
2024-04-17,48.37,48.403,48.16,48.293,8265795.0,sh601318
2024-04-18,47.594,47.751,47.551,47.56,4772962.0,sh601318
2024-04-19,46.646,46.711,46.603,46.673,5041776.0,sh601318
2024-04-22,47.536,47.731,47.423,47.564,3727423.0,sh601318
2024-04-23,47.816,48.019,47.659,47.746,6709840.0,sh601318
2024-04-24,49.667,49.787,49.477,49.635,6130397.0,sh601318
2024-04-25,52.177,52.24,52.129,52.222,4451356.0,sh601318
2024-04-26,52.916,52.999,52.881,52.936,4444084.0,sh601318
2024-04-29,53.308,53.296,53.162,53.256,3927109.0,sh601318
2024-04-30,54.962,55.235,54.963,55.061,7979451.0,sh601318
2024-05-01,53.138,53.295,53.076,53.182,9519981.0,sh601318
2024-05-02,51.985,52.039,51.732,51.949,8778484.0,sh601318
2024-05-03,51.748,51.842,51.682,51.809,9503902.0,sh601318
2024-05-06,52.294,52.32,52.133,52.213,7214624.0,sh601318
2024-05-07,52.332,52.4,52.362,52.388,5842611.0,sh601318
2024-05-08,52.512,52.676,52.572,52.581,7357182.0,sh601318
2024-05-09,53.364,53.633,53.298,53.43,5335868.0,sh601318
2024-05-10,53.51,53.613,53.429,53.508,3215167.0,sh601318
2024-05-13,54.171,54.323,54.056,54.192,4886402.0,sh601318
2024-05-14,54.511,54.713,54.472,54.549,7545535.0,sh601318
2024-05-15,54.013,54.087,53.978,54.007,7842385.0,sh601318
2024-05-16,53.152,53.359,53.053,53.192,1688105.0,sh601318
2024-05-17,52.202,52.25,52.174,52.189,2989173.0,sh601318
2024-05-20,52.727,52.723,52.622,52.695,4080761.0,sh601318
2024-05-21,52.59,52.592,52.5,52.572,2414466.0,sh601318
2024-05-22,54.517,54.821,54.543,54.571,1445101.0,sh601318
2024-05-23,54.876,54.886,54.622,54.831,9106609.0,sh601318
2024-05-24,57.029,57.07,56.92,57.021,8413023.0,sh601318
2024-05-27,55.93,56.012,55.785,55.888,8613269.0,sh601318
2024-05-28,56.157,56.188,56.0,56.108,2105534.0,sh601318
2024-05-29,54.813,54.908,54.832,54.833,5353127.0,sh601318
2024-05-30,54.872,54.91,54.811,54.833,8315360.0,sh601318
2024-05-31,55.923,55.962,55.929,55.958,9073461.0,sh601318
2024-06-03,55.812,55.852,55.699,55.783,1498863.0,sh601318
2024-06-04,55.667,55.756,55.734,55.748,9756262.0,sh601318
2024-06-05,56.506,56.514,56.46,56.472,3676188.0,sh601318
2024-06-06,58.907,58.911,58.839,58.906,4295990.0,sh601318
2024-06-07,58.103,58.398,58.146,58.187,8782937.0,sh601318
2024-06-10,57.325,57.336,57.227,57.308,7526818.0,sh601318
2024-06-11,56.884,57.017,56.637,56.911,6491590.0,sh601318
2024-06-12,57.184,57.253,56.98,57.078,7512440.0,sh601318
2024-06-13,56.541,56.6,56.515,56.531,7099628.0,sh601318
2024-06-14,57.278,57.178,57.061,57.163,7555968.0,sh601318
2024-06-17,58.371,58.351,58.226,58.334,3699015.0,sh601318
2024-06-18,57.211,57.331,56.997,57.254,9837590.0,sh601318
2024-06-19,59.402,59.483,59.321,59.387,2172622.0,sh601318
2024-06-20,58.053,58.131,58.007,58.041,3503771.0,sh601318
2024-06-21,58.792,58.803,58.656,58.749,4177825.0,sh601318
2024-06-24,59.125,59.358,59.031,59.203,1996161.0,sh601318
2024-06-25,61.658,61.714,61.623,61.67,5183839.0,sh601318
2024-06-26,61.177,61.332,61.12,61.206,1666326.0,sh601318
2024-06-27,61.5,61.533,61.465,61.488,1649150.0,sh601318
2024-06-28,62.336,62.352,62.264,62.326,4375957.0,sh601318
2024-07-01,63.632,63.657,63.411,63.616,1118834.0,sh601318
2024-07-02,63.61,63.675,63.56,63.576,4239576.0,sh601318
2024-07-03,66.034,66.094,65.998,66.043,6893309.0,sh601318
2024-07-04,64.754,64.808,64.647,64.715,6948540.0,sh601318
2024-07-05,63.736,63.84,63.477,63.755,5249913.0,sh601318
2024-07-08,63.973,64.024,63.841,63.994,5422201.0,sh601318
2024-07-09,63.073,63.059,62.927,63.056,2079600.0,sh601318
2024-07-10,61.322,61.401,61.164,61.312,4503157.0,sh601318
2024-07-11,63.081,63.314,63.108,63.13,9272874.0,sh601318
2024-07-12,64.455,64.43,64.32,64.344,9849851.0,sh601318
2024-04-01,12.451,12.476,12.332,12.4,2985588.0,sz000001
2024-04-02,12.542,12.643,12.605,12.63,9640059.0,sz000001
2024-04-03,12.83,12.992,12.827,12.897,5197355.0,sz000001
2024-04-04,12.662,12.745,12.56,12.66,2752683.0,sz000001
2024-04-05,13.01,13.166,12.853,12.989,8716868.0,sz000001
2024-04-08,13.053,13.195,12.931,13.075,2004646.0,sz000001
2024-04-09,12.93,13.073,12.846,12.942,4867500.0,sz000001
2024-04-10,12.719,12.839,12.624,12.708,1449395.0,sz000001
2024-04-11,12.63,12.767,12.592,12.675,6143901.0,sz000001
2024-04-12,12.057,12.124,11.963,12.107,7754350.0,sz000001
2024-04-15,12.402,12.428,12.104,12.343,2260386.0,sz000001
2024-04-16,12.376,12.468,12.324,12.337,4054390.0,sz000001
2024-04-17,12.246,12.366,12.212,12.217,8019431.0,sz000001
2024-04-18,11.883,12.033,11.914,11.946,4379569.0,sz000001
2024-04-19,11.799,11.87,11.806,11.813,3900603.0,sz000001
2024-04-22,12.073,12.084,11.919,12.059,9611474.0,sz000001
2024-04-23,11.609,11.706,11.577,11.646,2646711.0,sz000001
2024-04-24,11.702,11.724,11.657,11.678,6587774.0,sz000001
2024-04-25,11.666,11.588,11.526,11.569,7319707.0,sz000001
2024-04-26,11.546,11.664,11.467,11.581,8967801.0,sz000001
2024-04-29,11.905,12.053,11.79,11.917,2423286.0,sz000001
2024-04-30,12.057,12.08,11.958,12.058,4695961.0,sz000001
2024-05-01,11.851,11.896,11.848,11.876,9217316.0,sz000001
2024-05-02,11.735,11.891,11.719,11.727,4177945.0,sz000001
2024-05-03,11.914,12.101,11.798,11.934,8348340.0,sz000001
2024-05-06,11.987,11.976,11.88,11.973,1183062.0,sz000001
2024-05-07,11.37,11.407,11.354,11.374,3841992.0,sz000001
2024-05-08,11.531,11.561,11.395,11.467,5294539.0,sz000001
2024-05-09,11.68,11.707,11.517,11.634,7095929.0,sz000001
2024-05-10,11.632,11.706,11.59,11.641,5944505.0,sz000001
2024-05-13,11.576,11.608,11.527,11.573,1803328.0,sz000001
2024-05-14,11.685,11.884,11.517,11.646,5062958.0,sz000001
2024-05-15,11.927,11.932,11.857,11.878,2043233.0,sz000001
2024-05-16,12.56,12.803,12.689,12.693,7468703.0,sz000001
2024-05-17,12.531,12.553,12.467,12.546,1529525.0,sz000001
2024-05-20,12.459,12.66,12.381,12.495,1176615.0,sz000001
2024-05-21,12.034,12.117,11.982,12.028,5381932.0,sz000001
2024-05-22,12.352,12.425,12.314,12.375,7665088.0,sz000001
2024-05-23,12.428,12.65,12.43,12.475,8474447.0,sz000001
2024-05-24,12.214,12.341,12.152,12.303,5601020.0,sz000001
2024-05-27,12.618,12.711,12.574,12.591,4699391.0,sz000001
2024-05-28,12.237,12.232,12.179,12.196,9929860.0,sz000001
2024-05-29,12.378,12.437,12.22,12.391,8006454.0,sz000001
2024-05-30,12.258,12.323,12.178,12.249,4612610.0,sz000001
2024-05-31,12.6,12.713,12.608,12.63,8031883.0,sz000001
2024-06-03,12.779,12.973,12.801,12.807,3164367.0,sz000001
2024-06-04,13.111,13.218,13.047,13.067,1144356.0,sz000001
2024-06-05,13.052,13.135,13.018,13.036,9744220.0,sz000001
2024-06-06,12.717,12.846,12.629,12.759,9398043.0,sz000001
2024-06-07,13.101,13.091,13.008,13.059,2748014.0,sz000001
2024-06-10,13.481,13.43,13.295,13.411,8156720.0,sz000001
2024-06-11,13.22,13.26,13.17,13.198,3288627.0,sz000001
2024-06-12,12.889,12.875,12.768,12.86,7517963.0,sz000001
2024-06-13,13.03,13.038,12.975,13.003,7597519.0,sz000001
2024-06-14,13.027,13.061,12.961,12.991,1764121.0,sz000001
2024-06-17,13.038,13.077,13.012,13.052,8068121.0,sz000001
2024-06-18,12.855,12.814,12.706,12.795,4502630.0,sz000001
2024-06-19,13.173,13.136,12.834,13.075,6698848.0,sz000001
2024-06-20,12.734,12.787,12.627,12.747,2107677.0,sz000001
2024-06-21,13.111,13.151,13.103,13.125,6738852.0,sz000001
2024-06-24,12.987,13.338,12.994,13.065,1288790.0,sz000001
2024-06-25,13.071,13.186,13.012,13.049,6084921.0,sz000001
2024-06-26,12.993,13.204,12.954,13.003,4693305.0,sz000001
2024-06-27,12.446,12.455,12.287,12.438,5466271.0,sz000001
2024-06-28,12.108,12.14,12.035,12.043,5385536.0,sz000001
2024-07-01,11.731,11.758,11.499,11.731,2352695.0,sz000001
2024-07-02,11.439,11.664,11.568,11.603,2589228.0,sz000001
2024-07-03,11.631,11.659,11.57,11.601,2100567.0,sz000001
2024-07-04,11.481,11.667,11.391,11.49,8706358.0,sz000001
2024-07-05,11.332,11.417,11.309,11.407,1049115.0,sz000001
2024-07-08,11.56,11.57,11.363,11.546,1721747.0,sz000001
2024-07-09,11.859,11.919,11.623,11.786,6392023.0,sz000001
2024-07-10,11.865,11.903,11.762,11.809,6957515.0,sz000001
2024-07-11,11.637,11.591,11.33,11.547,7232753.0,sz000001
2024-07-12,11.49,11.456,11.21,11.373,6246880.0,sz000001
2024-04-01,1657.617,1657.526,1657.502,1657.525,2404330.0,sh600519
2024-04-02,1648.928,1648.903,1648.703,1648.894,1251492.0,sh600519
2024-04-03,1661.481,1661.715,1661.464,1661.551,5035851.0,sh600519
2024-04-04,1648.713,1648.843,1648.733,1648.742,1491072.0,sh600519
2024-04-05,1612.947,1613.037,1612.76,1612.96,2086880.0,sh600519
2024-04-08,1688.008,1688.088,1687.828,1688.034,3055723.0,sh600519
2024-04-09,1702.601,1702.603,1702.525,1702.578,3248988.0,sh600519
2024-04-10,1717.253,1717.349,1717.282,1717.299,3976242.0,sh600519
2024-04-11,1683.638,1683.724,1683.587,1683.639,5580081.0,sh600519
2024-04-12,1662.363,1662.396,1662.197,1662.359,3648790.0,sh600519
2024-04-15,1681.609,1681.723,1681.539,1681.558,4763024.0,sh600519
2024-04-16,1677.3,1677.463,1677.272,1677.362,5833177.0,sh600519
2024-04-17,1710.198,1710.282,1710.08,1710.203,9272841.0,sh600519
2024-04-18,1764.671,1764.835,1764.61,1764.756,4353597.0,sh600519
2024-04-19,1722.366,1722.358,1722.312,1722.333,9454561.0,sh600519
2024-04-22,1674.94,1675.003,1674.835,1674.922,3597480.0,sh600519
2024-04-23,1710.243,1710.309,1710.127,1710.24,5197571.0,sh600519
2024-04-24,1708.939,1708.963,1708.886,1708.911,7374201.0,sh600519
2024-04-25,1732.076,1732.196,1732.093,1732.162,7118900.0,sh600519
2024-04-26,1778.23,1778.215,1778.088,1778.209,3922097.0,sh600519
2024-04-29,1823.823,1824.013,1823.831,1823.854,1157164.0,sh600519
2024-04-30,1759.799,1759.795,1759.605,1759.718,1531831.0,sh600519
2024-05-01,1781.351,1781.453,1781.292,1781.338,3989475.0,sh600519
2024-05-02,1835.45,1835.417,1835.225,1835.361,4369720.0,sh600519
2024-05-03,1828.254,1828.269,1827.907,1828.168,5711075.0,sh600519
2024-05-06,1798.264,1798.403,1798.154,1798.288,8122313.0,sh600519
2024-05-07,1764.228,1764.343,1764.122,1764.26,7854500.0,sh600519
2024-05-08,1772.014,1772.288,1771.871,1772.045,3640328.0,sh600519
2024-05-09,1750.779,1750.829,1750.72,1750.754,8326434.0,sh600519
2024-05-10,1745.492,1745.556,1745.374,1745.412,6063778.0,sh600519
2024-05-13,1703.927,1704.143,1703.836,1703.961,4970001.0,sh600519
2024-05-14,1714.145,1714.158,1714.112,1714.155,1070640.0,sh600519
2024-05-15,1681.574,1681.804,1681.554,1681.663,5122263.0,sh600519
2024-05-16,1619.732,1619.93,1619.639,1619.664,5594877.0,sh600519
2024-05-17,1645.938,1646.032,1645.867,1645.921,2355531.0,sh600519
2024-05-20,1621.314,1621.264,1621.086,1621.158,1675510.0,sh600519
2024-05-21,1606.978,1607.151,1606.903,1607.007,4741196.0,sh600519
2024-05-22,1608.519,1608.7,1608.491,1608.526,7990102.0,sh600519
2024-05-23,1600.424,1600.475,1600.445,1600.457,3734296.0,sh600519
2024-05-24,1605.821,1605.806,1605.788,1605.805,7706024.0,sh600519
2024-05-27,1627.179,1627.501,1627.102,1627.183,1898320.0,sh600519
2024-05-28,1682.465,1682.462,1682.258,1682.415,6781565.0,sh600519
2024-05-29,1717.867,1717.964,1717.738,1717.87,3007635.0,sh600519
2024-05-30,1727.907,1728.078,1727.777,1727.923,4264908.0,sh600519
2024-05-31,1699.383,1699.508,1699.417,1699.43,5260538.0,sh600519
2024-06-03,1702.85,1702.902,1702.724,1702.863,7486460.0,sh600519
2024-06-04,1711.295,1711.446,1711.267,1711.334,7197323.0,sh600519
2024-06-05,1770.028,1770.059,1769.977,1770.044,4621581.0,sh600519
2024-06-06,1756.661,1756.692,1756.629,1756.687,5246238.0,sh600519
2024-06-07,1682.991,1682.975,1682.936,1682.954,6963135.0,sh600519
2024-06-10,1662.72,1662.693,1662.59,1662.659,9814131.0,sh600519
2024-06-11,1645.362,1645.457,1645.394,1645.404,4599865.0,sh600519
2024-06-12,1572.617,1572.776,1572.547,1572.586,6382287.0,sh600519
2024-06-13,1559.837,1559.935,1559.59,1559.815,8990340.0,sh600519
2024-06-14,1550.515,1550.579,1550.499,1550.566,2039458.0,sh600519
2024-06-17,1558.935,1559.049,1558.679,1558.993,4772811.0,sh600519
2024-06-18,1544.778,1544.751,1544.636,1544.685,3317336.0,sh600519
2024-06-19,1559.082,1559.069,1558.921,1559.015,3763642.0,sh600519
2024-06-20,1526.887,1527.058,1526.824,1526.975,8689684.0,sh600519
2024-06-21,1532.2,1532.242,1532.217,1532.236,4788340.0,sh600519
2024-06-24,1550.454,1550.539,1550.249,1550.429,1197775.0,sh600519
2024-06-25,1540.87,1541.028,1540.819,1540.874,3386488.0,sh600519
2024-06-26,1512.347,1512.543,1512.406,1512.407,1787494.0,sh600519
2024-06-27,1491.172,1491.182,1491.046,1491.149,6851244.0,sh600519
2024-06-28,1521.352,1521.425,1521.33,1521.373,6332660.0,sh600519
2024-07-01,1567.98,1567.927,1567.878,1567.884,7837433.0,sh600519
2024-07-02,1584.466,1584.404,1584.364,1584.381,6083769.0,sh600519
2024-07-03,1637.824,1637.977,1637.693,1637.895,1533636.0,sh600519
2024-07-04,1638.3,1638.337,1638.131,1638.307,5232406.0,sh600519
2024-07-05,1665.821,1665.972,1665.797,1665.852,3276360.0,sh600519
2024-07-08,1662.721,1662.855,1662.768,1662.827,5408249.0,sh600519
2024-07-09,1697.115,1697.305,1697.016,1697.153,5426219.0,sh600519
2024-07-10,1713.601,1713.67,1713.57,1713.589,9914438.0,sh600519
2024-07-11,1700.156,1700.329,1700.149,1700.224,2332397.0,sh600519
2024-07-12,1696.779,1696.788,1696.694,1696.756,8517836.0,sh600519
